Fruit,Color,Shape,Size,Texture,Weight,Volume,Density,SweetnessFactor
Lemon,Yellow,Oval,Small,Rough,100.2,110.1,0.910,2
Lemon,Light Yellow,Oblong,Medium,Bumpy,120.5,132.4,0.910,1
Lemon,Yellow,Oval,Large,Rough,150.8,165.7,0.910,3
Lemon,Green-Yellow,Round,Small,Bumpy,80.5,88.5,0.910,2
Lemon,Yellow,Oblong,Medium,Rough,130.7,143.6,0.910,1
Lemon,Light Yellow,Oval,Large,Bumpy,160.3,176.1,0.910,3
Lemon,Yellow,Round,Small,Rough,90.6,99.5,0.910,2
Lemon,Green-Yellow,Oblong,Medium,Bumpy,140.2,154.1,0.910,1
Lemon,Yellow,Oval,Large,Rough,170.5,187.3,0.910,3
Lemon,Light Yellow,Round,Small,Bumpy,85.3,93.7,0.910,2
